                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.63434,                0.72467,                0.93562,                0.74245,                0.81624,                 0.8198,                0.71942,                0.62771,                0.57076,                0.89944,              0.0012577,              0.0012577,              0.0012577
                     38,                0.65883,                0.76996,                0.93914,                0.55403,                0.93676,                0.85022,                0.71958,                0.60323,                0.67207,                  0.877,              0.0012529,              0.0012529,              0.0012529
                     39,                 0.6395,                0.74574,                0.93444,                0.84698,                0.79681,                0.87494,                0.75426,                0.56851,                 0.6155,                0.89093,              0.0012482,              0.0012482,              0.0012482
                     40,                0.59739,                0.70032,                0.91978,                0.95186,                 0.8515,                0.96783,                0.87646,                0.58489,                 0.5063,                0.88494,              0.0012434,              0.0012434,              0.0012434
                     41,                0.61755,                0.69141,                0.92134,                0.78379,                0.95842,                0.90726,                0.78341,                0.60057,                0.58485,                0.88905,              0.0012387,              0.0012387,              0.0012387
                     42,                0.61438,                0.71026,                0.92654,                0.80003,                0.77883,                0.80924,                0.68972,                 0.6578,                0.62848,                0.89433,              0.0012339,              0.0012339,              0.0012339
                     43,                 0.6177,                0.74286,                0.90258,                0.75156,                 0.8237,                0.84546,                0.72766,                0.57194,                0.61488,                0.86195,              0.0012291,              0.0012291,              0.0012291
                     44,                0.61758,                0.69749,                0.91647,                0.90507,                0.80217,                0.82062,                0.73992,                 0.5615,                0.58186,                0.89461,              0.0012244,              0.0012244,              0.0012244
                     45,                0.60784,                0.70949,                0.91133,                0.91991,                 0.9089,                0.95154,                 0.8412,                0.56514,                0.52473,                0.87328,              0.0012196,              0.0012196,              0.0012196
                     46,                0.60423,                0.70646,                0.92408,                0.91409,                0.84708,                0.89913,                0.80187,                0.53963,                0.51905,                0.86645,              0.0012149,              0.0012149,              0.0012149
                     47,                0.60241,                0.69306,                0.91108,                0.84711,                0.84888,                0.89043,                0.73992,                0.63571,                0.58011,                0.88859,              0.0012101,              0.0012101,              0.0012101
                     48,                0.59022,                0.65921,                0.90389,                 0.8237,                0.89247,                0.89151,                0.80557,                0.55577,                0.55533,                0.87349,              0.0012053,              0.0012053,              0.0012053
                     49,                0.61038,                0.66197,                0.91977,                0.88116,                0.81844,                0.91585,                 0.8182,                0.59832,                0.52138,                 0.8647,              0.0012006,              0.0012006,              0.0012006
                     50,                0.61144,                0.70858,                0.92099,                0.88759,                0.84969,                0.88942,                0.79079,                0.57524,                0.55527,                0.86442,              0.0011958,              0.0011958,              0.0011958
                     51,                0.60177,                0.65271,                0.91096,                0.84984,                0.83409,                0.92625,                0.82933,                0.62844,                0.61514,                0.88765,              0.0011911,              0.0011911,              0.0011911
                     52,                0.58113,                0.63839,                0.91038,                0.90465,                0.88771,                0.92753,                0.80633,                0.55708,                0.49208,                0.87126,              0.0011863,              0.0011863,              0.0011863
                     53,                0.60135,                0.66297,                0.94642,                0.79021,                0.83601,                0.80614,                0.70565,                0.53192,                0.51704,                0.86784,              0.0011816,              0.0011816,              0.0011816
                     54,                0.59023,                0.64307,                0.91342,                0.91035,                0.85303,                0.94554,                0.76717,                0.61335,                0.50205,                0.89099,              0.0011768,              0.0011768,              0.0011768
                     55,                0.59447,                0.62537,                 0.9207,                 0.9352,                0.77213,                0.88827,                0.79173,                0.52227,                0.48531,                0.86871,               0.001172,               0.001172,               0.001172
                     56,                0.57302,                0.61582,                0.91441,                0.80248,                0.97565,                0.93776,                0.86299,                0.53052,                0.44853,                0.86377,              0.0011673,              0.0011673,              0.0011673
                     57,                0.58367,                0.69311,                0.92356,                0.76927,                0.94797,                0.90036,                0.80629,                0.57933,                0.53915,                0.86061,              0.0011625,              0.0011625,              0.0011625
                     58,                0.56879,                0.66499,                0.90222,                0.84477,                0.89645,                0.93981,                0.86803,                0.52417,                0.49377,                0.86255,              0.0011578,              0.0011578,              0.0011578
                     59,                 0.5856,                0.65548,                0.92014,                0.94165,                0.84825,                0.95441,                0.88413,                0.58758,                0.46833,                0.86085,               0.001153,               0.001153,               0.001153
                     60,                0.55918,                0.60221,                0.90372,                0.94933,                0.84511,                0.94557,                0.85402,                0.52388,                0.47627,                0.86893,              0.0011482,              0.0011482,              0.0011482
                     61,                0.57005,                0.60165,                0.91181,                 0.9043,                0.85408,                0.94764,                0.87584,                0.54995,                0.49857,                0.85792,              0.0011435,              0.0011435,              0.0011435
                     62,                0.56908,                0.63537,                0.91082,                0.97329,                0.81975,                 0.9402,                0.83247,                0.53237,                  0.472,                0.86637,              0.0011387,              0.0011387,              0.0011387
                     63,                0.56327,                0.61048,                0.90342,                0.85419,                0.86006,                0.91733,                0.81202,                0.56162,                0.47675,                0.87696,               0.001134,               0.001134,               0.001134
                     64,                0.57179,                0.62656,                0.90925,                0.93299,                0.84268,                0.94874,                 0.8123,                0.53722,                  0.491,                0.85066,              0.0011292,              0.0011292,              0.0011292
